name,status,observed,expected,detail
PAIR_2012_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2012_West_NH: lag1 feature count,PASS,73,73,
PAIR_2012_West_NH: rolling feature count,PASS,438,438,
PAIR_2012_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2012_West_NH: infinite feature values,PASS,0,0,
PAIR_2012_West_NH: raw feature NaN cells,WARN,119260,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_West_NH: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2012_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2012_West_SW: year identity,PASS,[2012],[2012],
PAIR_2012_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2012_West_SW: parseable dates,PASS,0,0,
PAIR_2012_West_SW: date.year == year,PASS,0,0,
PAIR_2012_West_SW: pair-key identity,PASS,['2012|West_SW'],"['2012_West_SW', '2012|West_SW', 'PAIR_2012_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2012_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2012_West_SW: target NaN,PASS,0,0,
PAIR_2012_West_SW: target finite,PASS,0,0,
PAIR_2012_West_SW: stored feature width,PASS,651,651,
PAIR_2012_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2012_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2012_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2012_West_SW: lag1 feature count,PASS,73,73,
PAIR_2012_West_SW: rolling feature count,PASS,438,438,
PAIR_2012_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2012_West_SW: infinite feature values,PASS,0,0,
PAIR_2012_West_SW: raw feature NaN cells,WARN,174401,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2012_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2012_West_SW: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_Central: year identity,PASS,[2013],[2013],
PAIR_2013_Central: region identity,PASS,['Central'],['Central'],
PAIR_2013_Central: parseable dates,PASS,0,0,
PAIR_2013_Central: date.year == year,PASS,0,0,
PAIR_2013_Central: pair-key identity,PASS,['2013|Central'],"['2013_Central', '2013|Central', 'PAIR_2013_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_Central: target NaN,PASS,0,0,
PAIR_2013_Central: target finite,PASS,0,0,
PAIR_2013_Central: stored feature width,PASS,651,651,
PAIR_2013_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_Central: no target-derived feature names,PASS,[],[],
PAIR_2013_Central: lag1 feature count,PASS,73,73,
PAIR_2013_Central: rolling feature count,PASS,438,438,
PAIR_2013_Central: total temporal derivatives,PASS,511,511,
PAIR_2013_Central: infinite feature values,PASS,0,0,
PAIR_2013_Central: raw feature NaN cells,WARN,29311,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_Central: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_East: year identity,PASS,[2013],[2013],
PAIR_2013_East: region identity,PASS,['East'],['East'],
PAIR_2013_East: parseable dates,PASS,0,0,
PAIR_2013_East: date.year == year,PASS,0,0,
PAIR_2013_East: pair-key identity,PASS,['2013|East'],"['2013_East', '2013|East', 'PAIR_2013_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_East: target NaN,PASS,0,0,
PAIR_2013_East: target finite,PASS,0,0,
PAIR_2013_East: stored feature width,PASS,651,651,
PAIR_2013_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_East: no target-derived feature names,PASS,[],[],
PAIR_2013_East: lag1 feature count,PASS,73,73,
PAIR_2013_East: rolling feature count,PASS,438,438,
PAIR_2013_East: total temporal derivatives,PASS,511,511,
PAIR_2013_East: infinite feature values,PASS,0,0,
PAIR_2013_East: raw feature NaN cells,WARN,30625,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_East: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_North: year identity,PASS,[2013],[2013],
PAIR_2013_North: region identity,PASS,['North'],['North'],
PAIR_2013_North: parseable dates,PASS,0,0,
PAIR_2013_North: date.year == year,PASS,0,0,
PAIR_2013_North: pair-key identity,PASS,['2013|North'],"['2013_North', '2013|North', 'PAIR_2013_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_North: target NaN,PASS,0,0,
PAIR_2013_North: target finite,PASS,0,0,
PAIR_2013_North: stored feature width,PASS,651,651,
PAIR_2013_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_North: no target-derived feature names,PASS,[],[],
PAIR_2013_North: lag1 feature count,PASS,73,73,
PAIR_2013_North: rolling feature count,PASS,438,438,
PAIR_2013_North: total temporal derivatives,PASS,511,511,
PAIR_2013_North: infinite feature values,PASS,0,0,
PAIR_2013_North: raw feature NaN cells,WARN,80623,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_North: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_Toronto: year identity,PASS,[2013],[2013],
PAIR_2013_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2013_Toronto: parseable dates,PASS,0,0,
PAIR_2013_Toronto: date.year == year,PASS,0,0,
PAIR_2013_Toronto: pair-key identity,PASS,['2013|Toronto'],"['2013_Toronto', '2013|Toronto', 'PAIR_2013_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_Toronto: target NaN,PASS,0,0,
PAIR_2013_Toronto: target finite,PASS,0,0,
PAIR_2013_Toronto: stored feature width,PASS,651,651,
PAIR_2013_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2013_Toronto: lag1 feature count,PASS,73,73,
PAIR_2013_Toronto: rolling feature count,PASS,438,438,
PAIR_2013_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2013_Toronto: infinite feature values,PASS,0,0,
PAIR_2013_Toronto: raw feature NaN cells,WARN,15878,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_West_NH: year identity,PASS,[2013],[2013],
PAIR_2013_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2013_West_NH: parseable dates,PASS,0,0,
PAIR_2013_West_NH: date.year == year,PASS,0,0,
PAIR_2013_West_NH: pair-key identity,PASS,['2013|West_NH'],"['2013_West_NH', '2013|West_NH', 'PAIR_2013_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_West_NH: target NaN,PASS,0,0,
PAIR_2013_West_NH: target finite,PASS,0,0,
PAIR_2013_West_NH: stored feature width,PASS,651,651,
PAIR_2013_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2013_West_NH: lag1 feature count,PASS,73,73,
PAIR_2013_West_NH: rolling feature count,PASS,438,438,
PAIR_2013_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2013_West_NH: infinite feature values,PASS,0,0,
PAIR_2013_West_NH: raw feature NaN cells,WARN,116643,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_West_NH: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2013_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2013_West_SW: year identity,PASS,[2013],[2013],
PAIR_2013_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2013_West_SW: parseable dates,PASS,0,0,
PAIR_2013_West_SW: date.year == year,PASS,0,0,
PAIR_2013_West_SW: pair-key identity,PASS,['2013|West_SW'],"['2013_West_SW', '2013|West_SW', 'PAIR_2013_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2013_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2013_West_SW: target NaN,PASS,0,0,
PAIR_2013_West_SW: target finite,PASS,0,0,
PAIR_2013_West_SW: stored feature width,PASS,651,651,
PAIR_2013_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2013_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2013_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2013_West_SW: lag1 feature count,PASS,73,73,
PAIR_2013_West_SW: rolling feature count,PASS,438,438,
PAIR_2013_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2013_West_SW: infinite feature values,PASS,0,0,
PAIR_2013_West_SW: raw feature NaN cells,WARN,174126,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2013_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2013_West_SW: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_Central: year identity,PASS,[2014],[2014],
PAIR_2014_Central: region identity,PASS,['Central'],['Central'],
PAIR_2014_Central: parseable dates,PASS,0,0,
PAIR_2014_Central: date.year == year,PASS,0,0,
PAIR_2014_Central: pair-key identity,PASS,['2014|Central'],"['2014_Central', '2014|Central', 'PAIR_2014_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_Central: target NaN,PASS,0,0,
PAIR_2014_Central: target finite,PASS,0,0,
PAIR_2014_Central: stored feature width,PASS,651,651,
PAIR_2014_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_Central: no target-derived feature names,PASS,[],[],
PAIR_2014_Central: lag1 feature count,PASS,73,73,
PAIR_2014_Central: rolling feature count,PASS,438,438,
PAIR_2014_Central: total temporal derivatives,PASS,511,511,
PAIR_2014_Central: infinite feature values,PASS,0,0,
PAIR_2014_Central: raw feature NaN cells,WARN,30778,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_Central: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_East: year identity,PASS,[2014],[2014],
PAIR_2014_East: region identity,PASS,['East'],['East'],
PAIR_2014_East: parseable dates,PASS,0,0,
PAIR_2014_East: date.year == year,PASS,0,0,
PAIR_2014_East: pair-key identity,PASS,['2014|East'],"['2014_East', '2014|East', 'PAIR_2014_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_East: target NaN,PASS,0,0,
PAIR_2014_East: target finite,PASS,0,0,
PAIR_2014_East: stored feature width,PASS,651,651,
PAIR_2014_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_East: no target-derived feature names,PASS,[],[],
PAIR_2014_East: lag1 feature count,PASS,73,73,
PAIR_2014_East: rolling feature count,PASS,438,438,
PAIR_2014_East: total temporal derivatives,PASS,511,511,
PAIR_2014_East: infinite feature values,PASS,0,0,
PAIR_2014_East: raw feature NaN cells,WARN,31318,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_East: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_North: year identity,PASS,[2014],[2014],
PAIR_2014_North: region identity,PASS,['North'],['North'],
PAIR_2014_North: parseable dates,PASS,0,0,
PAIR_2014_North: date.year == year,PASS,0,0,
PAIR_2014_North: pair-key identity,PASS,['2014|North'],"['2014_North', '2014|North', 'PAIR_2014_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_North: target NaN,PASS,0,0,
PAIR_2014_North: target finite,PASS,0,0,
PAIR_2014_North: stored feature width,PASS,651,651,
PAIR_2014_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_North: no target-derived feature names,PASS,[],[],
PAIR_2014_North: lag1 feature count,PASS,73,73,
PAIR_2014_North: rolling feature count,PASS,438,438,
PAIR_2014_North: total temporal derivatives,PASS,511,511,
PAIR_2014_North: infinite feature values,PASS,0,0,
